artist,song,duration_ms,explicit,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre
Keri Hilson,Knock You Down,326186,FALSE,2009,57,0.588,0.877,8,-4.78,1,0.16,0.00952,0,0.171,0.645,155.165,pop+ R&B
Asher Roth,I Love College,241933,TRUE,2009,62,0.713,0.826,8,-4.075,1,0.243,0.0897,0,0.421,0.664,86.444,hip hop+ pop
Kelly Clarkson,My Life Would Suck Without You,211493,FALSE,2009,68,0.526,0.882,9,-4.006,1,0.0509,0.0014,0,0.144,0.424,144.982,pop+ R&B
Mumford & Sons,Little Lion Man,245173,TRUE,2009,68,0.517,0.492,5,-8.05,1,0.0272,0.0275,3.19E-05,0.0873,0.455,138.585,Folk/Acoustic+ rock+ pop
The Fray,You Found Me,241853,FALSE,2009,73,0.338,0.803,8,-5.412,0,0.0413,0.0187,0,0.136,0.4,151.994,pop
Lady Gaga,Bad Romance,294573,TRUE,2009,80,0.696,0.921,0,-3.755,1,0.0363,0.00314,5.24E-05,0.0842,0.714,119.001,pop
Rihanna,Te Amo,208426,TRUE,2009,67,0.567,0.707,8,-5.455,0,0.0818,0.541,0.000176,0.1,0.751,171.917,hip hop+ pop+ R&B
Timbaland,Carry Out (Featuring Justin Timberlake),232466,FALSE,2009,69,0.531,0.574,10,-6.693,0,0.113,0.114,0.0308,0.256,0.272,115.68,hip hop+ pop+ R&B
Black Eyed Peas,Imma Be,257560,FALSE,2009,61,0.597,0.517,0,-6.963,1,0.365,0.179,0,0.307,0.412,92.035,hip hop+ pop
Sidney Samson,Riverside,320348,TRUE,2009,47,0.804,0.976,1,-2.458,0,0.0445,0.00023,0.894,0.125,0.237,125.997,Dance/Electronic
Lady Gaga,Alejandro,274213,FALSE,2009,67,0.623,0.793,11,-6.63,0,0.0462,0.000397,0.0015,0.375,0.36,98.998,pop
Rihanna,Rude Boy,222920,TRUE,2009,74,0.563,0.75,11,-4.496,1,0.127,0.113,0,0.0788,0.812,173.906,hip hop+ pop+ R&B
Iyaz,Replay,182306,FALSE,2009,75,0.706,0.751,9,-6.323,1,0.0708,0.173,0,0.168,0.195,91.031,hip hop+ pop
Lady Gaga,Telephone,220640,FALSE,2009,69,0.824,0.836,3,-5.903,1,0.0404,0.00521,0.000817,0.112,0.716,122.014,pop
